time,logN,pH,strain
12,3,3.2,8
0,6.012837225,3.4,8
0,5.919078092,3.4,8
0,5.73239376,3.4,8
15,5.531478917,3.4,8
15,5.903089987,3.4,8
15,5.579783597,3.4,8
30,5,3.4,8
30,4,3.4,8
30,4,3.4,8
45,4.792391689,3.4,8
45,4.86923172,3.4,8
45,5.136720567,3.4,8
60,4.064457989,3.4,8
60,4.178976947,3.4,8
60,4.301029996,3.4,8
75,3.86923172,3.4,8
75,3.255272505,3.4,8
75,4.075546961,3.4,8
0,6.178976947,3.6,8
0,6.1430148,3.6,8
0,6.133538908,3.6,8
20,6.025305865,3.6,8
20,6.06069784,3.6,8
20,6.201397124,3.6,8
40,5.913813852,3.6,8
40,5.903089987,3.6,8
40,6.041392685,3.6,8
60,5.886490725,3.6,8
60,5.544068044,3.6,8
60,5.959041392,3.6,8
80,4.929418926,3.6,8
80,4.903089987,3.6,8
80,5.025305865,3.6,8
100,3.643452676,3.6,8
100,3.380211242,3.6,8
100,3.204119983,3.6,8
120,2.113943352,3.6,8
120,1.301029996,3.6,8
120,2.146128036,3.6,8
0,5.591064607,3.8,8
0,5.740362689,3.8,8
0,5.531478917,3.8,8
30,5.954242509,3.8,8
30,5.812913357,3.8,8
30,5.819543936,3.8,8
60,5.672097858,3.8,8
60,5.785329835,3.8,8
60,5.653212514,3.8,8
90,5.77815125,3.8,8
90,5.342422681,3.8,8
90,5.51851394,3.8,8
120,5.414973348,3.8,8
120,5.662757832,3.8,8
120,5.612783857,3.8,8
150,5.278753601,3.8,8
150,5.204119983,3.8,8
150,5.505149978,3.8,8
180,5.361727836,3.8,8
180,4.698970004,3.8,8
180,5,3.8,8
210,4,3.8,8
210,4.342422681,3.8,8
210,4,3.8,8
240,2.954242509,3.8,8
240,3.113943352,3.8,8
240,2.954242509,3.8,8
0,5.919078092,3,9
0,5.716003344,3,9
0,6,3,9
1.5,5.944482672,3,9
1.5,5.591064607,3,9
1.5,5.949390007,3,9
3,4.77815125,3,9
3,4.77815125,3,9
3,5,3,9
4.5,3.602059991,3,9
4.5,4,3,9
4.5,4.301029996,3,9
6,1.84509804,3,9
6,2.77815125,3,9
6,4.230448921,3,9
0,5.963787827,3.2,9
0,5.612783857,3.2,9
0,5.73239376,3.2,9
4,5.491361694,3.2,9
4,5.672097858,3.2,9
4,5.602059991,3.2,9
8,4.903089987,3.2,9
8,4.77815125,3.2,9
8,5,3.2,9
12,3.77815125,3.2,9
12,3.602059991,3.2,9
12,4,3.2,9
16,2.698970004,3.2,9
16,2.301029996,3.2,9
16,2.698970004,3.2,9
20,1.84509804,3.2,9
20,1.301029996,3.2,9
20,2.041392685,3.2,9
0,5.963787827,3.4,9
0,5.612783857,3.4,9
0,5.73239376,3.4,9
15,5.995635195,3.4,9
15,5.875061263,3.4,9
15,5.748188027,3.4,9
30,5.447158031,3.4,9
30,5.146128036,3.4,9
30,4.477121255,3.4,9
45,4,3.4,9
45,4,3.4,9
45,4,3.4,9
60,3.477121255,3.4,9
60,3.698970004,3.4,9
60,3.301029996,3.4,9
75,2.301029996,3.4,9
75,2.602059991,3.4,9
75,2.477121255,3.4,9
90,1.84509804,3.4,9
90,1.477121255,3.4,9
90,2,3.4,9
0,5.919078092,3.6,9
0,5.716003344,3.6,9
0,6,3.6,9
20,5.431363764,3.6,9
20,5.414973348,3.6,9
20,5.204119983,3.6,9
40,5.968482949,3.6,9
40,5.851258349,3.6,9
40,5.556302501,3.6,9
60,5.579783597,3.6,9
60,5.591064607,3.6,9
60,5.86332286,3.6,9
80,4.977723605,3.6,9
80,4.763427994,3.6,9
80,4.556302501,3.6,9
100,3.633468456,3.6,9
100,3.973127854,3.6,9
100,4.176091259,3.6,9
120,2.62324929,3.6,9
120,3.075546961,3.6,9
120,3.113943352,3.6,9
140,1.477121255,3.6,9
140,1.301029996,3.6,9
140,1.954242509,3.6,9
0,5.653212514,3.8,9
0,5.681241237,3.8,9
0,5.77815125,3.8,9
30,5.763427994,3.8,9
30,5.716003344,3.8,9
30,5.72427587,3.8,9
60,5.681241237,3.8,9
60,5.681241237,3.8,9
60,5.716003344,3.8,9
90,5.740362689,3.8,9
90,5.397940009,3.8,9
90,5.799340549,3.8,9
120,5.51851394,3.8,9
120,5.380211242,3.8,9
120,5.505149978,3.8,9
150,5.62324929,3.8,9
150,5,3.8,9
150,5.322219295,3.8,9
180,5.113943352,3.8,9
180,4.84509804,3.8,9
180,4.477121255,3.8,9
210,4.633468456,3.8,9
210,4.477121255,3.8,9
210,4.380211242,3.8,9
240,3.491361694,3.8,9
240,3.322219295,3.8,9
240,3.51851394,3.8,9
0,6.004321374,3,10
0,6.008600172,3,10
0,6.06069784,3,10
1.5,5.986771734,3,10
1.5,5.73239376,3,10
1.5,6.041392685,3,10
3,5.86923172,3,10
3,6.103803721,3,10
3,6.11058971,3,10
4.5,5.477121255,3,10
4.5,5.69019608,3,10
4.5,5.826074803,3,10
6,3.903089987,3,10
6,4.755874856,3,10
6,5.056904851,3,10
7.5,2.77815125,3,10
7.5,3.763427994,3,10
7.5,3.919078092,3,10
9,2.322219295,3,10
9,1,3,10
9,2.462397998,3,10
10.5,1,3,10
10.5,1.301029996,3,10
10.5,1.77815125,3,10
0,5.857332496,3.2,10
0,6.181843588,3.2,10
0,6.195899652,3.2,10
4,6.1430148,3.2,10
4,6,3.2,10
4,6.269512944,3.2,10
8,5.954242509,3.2,10
8,5.934498451,3.2,10
8,5.763427994,3.2,10
12,4.544068044,3.2,10
12,4.77815125,3.2,10
12,4.982271233,3.2,10
16,3.176091259,3.2,10
16,3.176091259,3.2,10
16,2.301029996,3.2,10
0,5.857332496,3.4,10
0,6.184691431,3.4,10
0,6.195899652,3.4,10
15,6.049218023,3.4,10
15,6.029383778,3.4,10
15,5.995635195,3.4,10
30,4.698970004,3.4,10
30,4.84509804,3.4,10
30,5,3.4,10
45,3.477121255,3.4,10
45,3,3.4,10
45,4.322219295,3.4,10
60,2,3.4,10
60,2.477121255,3.4,10
60,3.361727836,3.4,10
75,2.361727836,3.4,10
75,2.079181246,3.4,10
75,1.698970004,3.4,10
90,1.301029996,3.4,10
90,1,3.4,10
90,1.602059991,3.4,10
0,6.004321374,3.6,10
0,6.008600172,3.6,10
0,6.06069784,3.6,10
20,6.222716471,3.6,10
20,5.929418926,3.6,10
20,6.029383778,3.6,10
40,5.812913357,3.6,10
40,5.491361694,3.6,10
40,5.698970004,3.6,10
60,3.903089987,3.6,10
60,4.255272505,3.6,10
60,4.079181246,3.6,10
80,3.301029996,3.6,10
80,3,3.6,10
80,3.301029996,3.6,10
100,2.301029996,3.6,10
100,2,3.6,10
100,2,3.6,10
0,6.267171728,3.8,10
0,6.276461804,3.8,10
0,6.149219113,3.8,10
30,6.136720567,3.8,10
30,6.220108088,3.8,10
30,6.320146286,3.8,10
60,5.939519253,3.8,10
60,5.785329835,3.8,10
60,6.120573931,3.8,10
90,5.792391689,3.8,10
90,6.012837225,3.8,10
90,6.146128036,3.8,10
120,6.004321374,3.8,10
120,5.959041392,3.8,10
120,6.158362492,3.8,10
150,5.079181246,3.8,10
150,5.892094603,3.8,10
150,6.198657087,3.8,10
180,5.799340549,3.8,10
180,5.230448921,3.8,10
180,5.230448921,3.8,10
210,4.633468456,3.8,10
210,5.170261715,3.8,10
210,5.093421685,3.8,10
