"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"lndp[5,5,1]",5.27477098901454,0.0477041929766533,5.16899338614779,5.27779329961748,5.35590699521113,1.01,1296
"lndp[5,5,2]",0.98593734722953,0.190661001183337,0.493221887973911,1.02542489419021,1.26063335777956,1,1816
"lndp[5,6,1]",5.61270476552268,0.099425979848962,5.46526888476348,5.59966644474031,5.84855921378458,1,4436
"lndp[5,6,2]",0.98667759975273,0.256214858525866,0.385408552906319,1.02569959947639,1.42708292595825,1,2987
"lndp[5,7,1]",5.38672115228717,0.0452594125855814,5.30656258065947,5.38514716237924,5.48571377349867,1,5644
"lndp[5,7,2]",1.13608814986238,0.172022989603812,0.835896098968041,1.12091635797062,1.52792817005587,1,3409
"lndp[5,8,1]",5.15193909505152,0.0366448218482222,5.07717185234378,5.15202090548723,5.2226917137613,1,5022
"lndp[5,8,2]",1.14056112394079,0.117805442283138,0.918909167799726,1.13509603784928,1.38832346233189,1,2600
"lndp[5,9,1]",5.20872563015909,0.0371909445215006,5.13309134563672,5.21034694865292,5.27955534370908,1,1563
"lndp[5,9,2]",1.0981215128856,0.120750741686398,0.847519165333779,1.10024565350394,1.33311120772266,1,4761
"lndp[5,10,1]",5.26728751047159,0.0361896757433577,5.19478149274858,5.26659258102264,5.33724907854415,1,4889
"lndp[5,10,2]",1.11699870779275,0.130116393516303,0.868982713119582,1.11115906288236,1.39451886636095,1,5059
"lndp[5,11,1]",5.22107665062323,0.0367130393010714,5.1420815060753,5.22340451307485,5.28821037145707,1,4208
"lndp[5,11,2]",1.0839469763846,0.120440462289102,0.833476789596176,1.08695010957526,1.31192721496689,1,5216
"mean_lndp[1,1]",1.41983026029891,0.0828256874281576,1.24720381611888,1.42339857254051,1.57944267591626,1,2755
"mean_lndp[1,2]",0.684657188402367,0.0865546135075667,0.509013328012043,0.686344017736389,0.863487651326165,1,2235
